id,text,author
id26305,"However, this process did not give me a chance to determine the dimensions of my dungeon; how I will make his circuit and return to the point where I am going without being aware of the fact; The wall seemed so perfectly uniform.",EAP
id17569,It never crossed my mind that fumbling could be a mere mistake.,HPL
id11008,"There was a golden snuffbox in his left hand, from which, as he descended the hill and made all sorts of fantastic steps, he continued to take snuff with the air of the greatest possible complacency.",EAP
id27763,"How lovely is spring When we looked from Windsor Terrace to the sixteen fertile counties scattered among them, mingled with joyful huts and wealthier towns, everyone looked as if exultant and beautiful.",MWS
id12958,"Since he did not find anything else, not even gold, the superintendent gave up his attempts; but a perplexed look occasionally steals over his face as he sits at his desk.",HPL
id22965,"A teenager who has been lost in solitude, my best years spent under your gentle and feminine care, has refined the basis of my character to such an extent that I can not overcome an intense aversion to the usual on-board brutality. I never thought it necessary. and when I heard of a sailor equally known for his warmth and the respect and obedience of his crew, I felt particularly happy to be able to secure his services.",MWS
id09674,"The astronomer, perhaps, at this point, escaped into the suggestion of non-luminosity; and here the analogy was suddenly dropped.",EAP
id13515,The abdominal belt hung in ribbons from my body.,EAP
id19322,"I knew that you could not say ""stereotomy"" without thinking of the atomics and the theories of Epicurus; and since, when we talked about this subject not so long ago, I mentioned to you how peculiarly, but with little notice, the vague conjectures of that noble Greek had been confirmed in the late nebulous cosmogony, I felt that you could not avoid me Threw your eyes on the great Orion Nebula, and I had expected you to do that.",EAP
id00912,I confess that neither the structure of the languages ​​nor the code of the governments nor the politics of different states attracted me.,MWS
id16737,"He will find that I can feel my injuries; he will learn to fear my revenge. ""A few days after his arrival.",MWS
id16607,Here we barricaded ourselves and were safe for the time being.,EAP
id19764,Herbert West needed fresh bodies because his life's work was the revival of the dead.,HPL
id18886,The courtyard-like grounds stretched very low up the hill almost to Wheaton Street.,HPL
id17189,But a look will show the error of this idea.,EAP
id12799,"He had escaped from me, and I had to begin a destructive and almost endless journey through the mountainous ocean, in the midst of the cold that few of the inhabitants could endure, and which I, the natives of a friendly and sunny climate, could not hope to survive.",MWS
id08441,"Of course, they gave their own interpretation to these speeches; no doubt that I should definitely come into possession of large amounts of ready money; and assuming I paid them everything I owed, and a little more, considering their ministries, I dare say that they cared very little about what either my soul or my carcass became.",EAP
id13117,"Her native vivacity did not need excessive excitement, and her calm heart rested contentedly on my love, the well-being of her children, and the beauty of the surrounding nature.",MWS
id14862,"I even went so far as to speak of a slightly hectic cough, with which I had once suffered from a chronic rheumatism of a sting of hereditary gout, and finally from the unpleasant and uncomfortable, but hitherto carefully hidden, gout. Weakness of my eyes.",EAP
id20836,"His expression, too, was remarkable for his maturity; For though he shared the chinlessness of his mother and grandfather, his firm and joyously formed nose combined with the expression of his large, dark, almost Latin eyes to give him an atmosphere of quasi-adult and almost supernatural intelligence.",HPL
id11411,"Now the network was not permanently attached to the tire, but attached by a series of loops or loops.",EAP
id08075,"It was not that the sounds were ugly, because they were not; but that they held vibrations that indicated nothing on this globe, and that at certain intervals they assumed a symphonic quality that I could scarcely imagine as being produced by a player.",HPL
id18925,"On each side was a wilderness of balconies, porches, minarets, shrines, and fantastically carved ores.",EAP
id19925,"With a profound spirit of wonder and embarrassment, I looked at him from our distant bench in the gallery as he ascended the pulpit with a solemn and slow step. This venerable man, with such a cheerful expression, with such brilliant attire, so spiritually fluent, with a wig, so finely powdered, so rigid and so mighty, could he be that lately with sour countenance and in smoky habits the draconian laws of the Academy in hand managed?",EAP
id01704,These bizarre attempts at explanation were followed by others as bizarre.,EAP
id10125,"For many prodigies and signs, the black wings of pestilence had been spread far and wide, over sea and land.",EAP
id02448,"All one can say is that ""pure gold can be made at will, and very easily from lead in conjunction with certain other substances, in kind and in proportions, unknown."" The speculation, of course, is preoccupied with the immediate and final results of this discovery, a discovery that few thoughtful individuals will hesitate to point to an increased interest in the gold issue generally due to late developments in California; and this reflection inevitably brings us to another the excessive reluctance of Von Kempelen's analysis.",EAP
id23451,"I seemed to be on the verge of understanding, without the power to understand people, sometimes to be on the edge of memory without being able to remember at the end.",EAP
id27907,"Our compasses, depth gauges and other sensitive instruments were ruined; so from now on our only calculation would be based on guesswork, based on our watches, the calendar and our apparent drift as judged by any objects we could see through the portholes or from the tower.",HPL
id08121,This took the young warriors to Sarnath as a symbol of the conquest over the ancient gods and beings of Ib and a sign of leadership in Mnar.,HPL
id15222,"Meanwhile, the whole Arnhem paradise breaks open.",EAP
id00764,I was rich and young and ordered a guardian for me; and everything around me would pretend to be one of their great company while keeping the secret that I was cut off from them forever.,MWS
id00683,"We could see little of the faint light, but they seemed to contain prophecies, detailed relationships of events, but recently elapsed; Name, now well known, but of modern date; and often exclamations of jubilation or pain, victory or defeat were traced on their thin, needy pages.",MWS
id11733,Even now they spoke in their graves.,HPL
id03205,"Sheehan especially, they have been researching, but without any value of information concerning Old Bugs.",HPL
id01948,He screamed once and a little later gasped more terribly than a scream.,HPL
id22412,"The old tracks traversed River Street at high altitude and immediately moved into a region that was becoming more and more rural, with less and less of Innsmouth's hideous fishy smell.",HPL
id05258,"His soul was flooded with ardent affections, and his friendship was of that devoted and wondrous nature which the worldly minded teaches us only in the imagination.",MWS
id00144,"After the first launch, he replaced the handkerchief cladding around the portrait as if it were protecting it from the filthiness of the place.",HPL
id19576,"""The present peculiar state of affairs at court, and especially those intrigues in which D participates, would make the immediate availability of the document susceptible to its being produced in a moment of almost equal importance with its possession.""",EAP
id01577,"Wilbur's growth was indeed phenomenal, for within three months of his birth he had reached a size and muscular strength normally not found in infants under the age of one.",HPL
id01651,"I was only able to raise them continuously, whereupon a black opening was revealed, emanating poisonous vapors, which stuttered my torch and revealed in the shaky light the summit of a stone staircase.",HPL
id27080,"It was all mud and water, the sky was dark, and the rain was blowing over all the tracks as fast as possible; But when we started to be in the ravine where the trees had moved, they were still some of them, awfully big, as thick as Beam, as he saw Monday. """,HPL
id20751,Merrival's visits to Windsor before they were frequent suddenly stopped.,MWS
id21136,"However, it is not to be supposed that the great underling had to endure this impudence of the little old man to go away with impunity.",EAP
id10279,I do not have to tell you how skeptical I was so far on the subject of the immortality of the soul.,EAP
id12683,"I often likened myself to them, and when I realized that my chief superiority was in power, I soon convinced myself that it was only in power that I was inferior to Earth's greatest potentate.",MWS
id19180,And the children of the children and the children of the newcomers have grown up.,HPL
id02236,"Dr. Johnson, when I saw him, was a full, purple man, very sickly urge and sloppy aspect.",HPL
id11523,"Immediately, the sound of the water fell softly on my ear, and in a few moments afterwards, as I turned a little more abruptly up the road, I realized that there was a building of some sort at the foot of a gentle slope right in front of me.",EAP
id22530,Ellison was remarkable in the continual abundance of good gifts bestowed upon him.,EAP
id22197,"I was still continuing in the plane of Elipse, but making little progress east.",EAP
id24941,"It was useless to deliver many things, because we should find abundant supplies in every city.",MWS
id15218,They fly fast with their sledges over the snow; the movement is pleasant and in my opinion much more pleasant than that of an English stagecoach.,MWS
id02164,"I pointed to the spot where he had disappeared, and we followed the trail with boats; Nets were thrown, but in vain.",MWS
id17654,"I have vague memories of a big storm some time after I reached the boat; at any rate, I know that I heard rumbling thunder and other sounds which nature expresses only in its wildest moods.",HPL
id20824,"There seemed to be no one in the courtyard below, and I hoped that there would be a chance of getting away from a general alarm.",HPL
id21164,"My God, are you taking me before a shicken? ""No, oh no,"" I replied, very alarmed, ""you're definitely not chicken. """,EAP
id08820,Perpetual fear had turned his skin yellow and shriveled his whole person.,MWS
id17407,The sunset; The atmosphere became weaker and the evening star no longer seemed without a companion.,MWS
id05166,"The rain stopped; the clouds sank behind the horizon; It was evening now, and the sun was rapidly sinking in the western sky.",MWS
id07779,"Nothing happened, however, except a few hill noises; and when the day came, there were many who hoped the new horror had gone as fast as it had come.",HPL
id14749,The state rooms were sufficiently spacious and each had two bunk beds.,EAP
id10634,It was getting dark and the old roofs and chimneys outside looked very strange through the windows.,HPL
id03555,"They were marched to different parts of the southern counties, quartered in deserted villages, some were sent back to their own island, while the winter season revived our energy enough to defend the country's passports and prohibit any increase in numbers.",MWS
id26727,"We suffered a lot from the cold, and the humidity of the atmosphere was very unpleasant; but the big space in the car allowed us to lie down, and with coats and blankets, we were fine.",EAP
id06312,"I dared, I defeated them all, until now I sold myself to death with the only condition that you should follow me. Fire, war and plague, unite for your destruction. O my Raimund, there is no assurance for you a heavy heart I listened to the changes of her delirium, I made her a bed of coats, her vehemence diminished, and a damp dew stood on her brow, as the pallor of death to the purple of fever, I put them on the coats.",MWS
id24464,"Again he seemed to be inside a house, an old house, apparently, but the details and residents were constantly changing, and he could not be sure of the faces or the furniture or even the room itself, as doors and windows all seemed in one as big river as the supposedly mobile objects.",HPL
id18006,"This gentleman was dressed from head to toe in a richly embroidered black silk blanket, carelessly wrapped around his form like a Spanish cloak.",EAP
id04459,"The pigeons seemed desperate in the extreme and fought to escape; while the cat mewed miserably and, with her tongue hanging from her mouth, paced back and forth in the car as if under the influence of poison.",EAP
id06749,"""And what about the windows?"" ""They were all gone.",HPL
id11062,"I gasped, gasping for breath. There was no doubt in the design of my tormentors, oh the most relentless and demonic of all human beings, who shrank from the glowing metal to the center of the cell.",EAP
id01571,"It was with great difficulty that I gained my feet and looked around in a daze, first struck by the idea that we were under breakers; so magnificent, beyond the wildest imagination, was the swirl of mountainous and foaming oceans into which we were wrapped.",EAP
id03152,The next morning I gave my letters of recommendation and visited some of the main professors.,MWS
id06412,"Raymond also made no end without drawing vibrant and vivid colors, the splendor of a kingdom as opposed to the commercial spirit of republicanism.",MWS
id10155,How this famous magazine can sustain its obvious huge expenses is more than we can understand.,EAP
id24823,"In a week or two it was visibly faded, and within a few months it was barely visible to the naked eye. """,HPL
id06377,"The stranger learned about twenty words in the first hour; most of them were actually the ones I had understood before, but I benefited from the others.",MWS
id01222,"Every people considered the coming struggle as that which would be highly decisive; for in the case of victory, the next step would be the siege of Constantinople by the Greeks.",MWS
id10142,"""But could not the cavity be discovered by sounding?""",EAP
id08521,"My lieutenant, for example, is a man of wonderful courage and enterprise; he is madly eager for fame, or rather, to make my sentence more characteristic of progress in his profession.",MWS
id13267,"Within twenty-four hours, near the table, this machine will produce waves that act on unrecognized sensory organs that exist in us as stunted or rudimentary remains.",HPL
id06001,"""Everyone comes out of the idea of ​​being down in canoeing wars with the other islanders or as sacrifices to the sea gods, or from snakebite or plague, or sharp galloping discomfort, or something, before they ruminate to the water but just looked after one kind of change that was awful for a while.",HPL
id22877,The lips were of the usual marble pallor.,EAP
id02647,"""That's absolutely unnecessary,"" replied G.",EAP
id10154,"In front of me was sparse grass, pawing blueberry bushes, and behind them the naked rock of the rock and the thin summit of the dreaded gray house.",HPL
id22605,"To be close to him, to be loved by him, to feel him again, was the limit of her wishes.",MWS
id18034,"The sky was calm; and since I could not rest, I decided to visit the place where my poor William had been murdered.",MWS
id27266,"I say ""thing"" be it observed, because they tell me the Latin, because it's Rem.",EAP
id10676,"Everything he said cast Cornelius Agrippa, Albertus Magnus, and Paracelsus, the masters of my imagination, into the shade; but by one death the fall of these men was averse to continuing my usual studies.",MWS
id03833,"The ex-queen gives me Idris; Adrian is completely unable to get into the county, and this county in my hands becomes a kingdom.",MWS
id16135,"The pupils also contracted or dilated with each decrease or decrease in light, as observed in the cat strains.",EAP
id19878,"""Hold the biggest branch of the one on this side,"" said Legrand.",EAP
id25019,"As she trembled for a while under the curtains of the room, she finally rested on the surface of the brass door.",EAP
id18067,"Maternal affection had not made Idris selfish; At the beginning of our misfortune, she had devoted herself with thoughtless enthusiasm to the care of the sick and helpless.",MWS
id23088,"He came like a guardian spirit to the poor girl who devoted herself to his care; and after the funeral of his friend, he led her to Geneva and placed her under the protection of a relative.",MWS
id06172,"I had expected something extravagant, and stayed still for a while, gathering my thoughts that I could better fight their imaginative plan.",MWS
id08466,"Things had now taken on a really serious aspect, and I decided to call my special friend, Mr. Theodore Sinivate, at once; because I knew that I should get at least some information here.",EAP
id02547,The system had its disadvantages and even its dangers.,EAP
id04451,"Everyone seemed inclined to be quiet now, as if they had a secret fear.",HPL
id04853,They still appeared in public and lived under the same roof.,MWS
id21482,"""But, my dear, you are joking then,"" said I, ""that is really a very passable skull, I can say that it is a very excellent skull, according to the vulgar notions about such specimens of physiology and your scarabæus must be strangest scarab of the world, if he is like him.",EAP
id03072,"I'm looking at Gawd, I do not know what he wants or what he's trying to thaw. """,HPL
id08617,"He began to answer by force, ""Yes, yes, I hate you, you are my curse, my poison, my reluctance, oh no."" And then his behavior changed and fixed his eyes with an expression that shook every nerve and member My frame ""You are not one of them, you are my light, my only one, my life.",MWS
id04159,I shivered when I wondered why I had not come to light and looked down if I had dared.,HPL
id18740,"The slow devastation of the disease is not pleasant to look at, but in my case, there was something more subtle and enigmatic in the background.",HPL
id11321,"As the Comte and his colleagues turned away from the low lodgings of the alchemists, the figure of Charles Le Sorcier appeared through the trees.",HPL
id06564,"As I said, when we were in the medical school, where West had already become infamous for his wild theories about the nature of death and the possibility of artificially overcoming it.",HPL
id01004,"Besides, Perdita was with him in his retirement; she saw the moodiness that followed this forced cheerfulness; she drew his disturbed sleep, his painful irritability as soon as she had seen his tears, which had barely stopped flowing since she had seen the large drops that the disappointed pride had gathered in his eyes, but which pride could not dispel.",MWS
