id,text,author
id26305,"This process, however, did not provide me with any means to determine the dimensions of my dungeon; how could he make his circuit, and return to the point where I left, without being aware of the fact; so perfectly even seemed the wall.",EAP
id17569,It never occurred to me that the touch could be a mere mistake.,HPL
id11008,"In his left hand was a snuff box of gold, from which, while walking the hill, cutting all kinds of fantastic steps, he incessantly took tobacco with an air of the greatest possible satisfaction.",EAP
id27763,"How beautiful is spring When we look from Windsor Terrace, in the sixteen fertile counties that stretch below, dotted with happy country houses and richer cities, they all seemed in previous years, cheerful to the heart and beautiful.",MWS
id12958,"Finding nothing else, not even gold, the Superintendent abandoned his attempts; but a perplexed look sometimes rubs his face as he sits down to think about his desk.",HPL
id22965,"A young man who passed in solitude, my best years under his gentle and feminine care, has so refined the basis of my character that I can not overcome an intense distaste for the usual brutality exercised on board the ship: I never thought it necessary, and when I learned of a sailor equally known for his kindness of heart and the respect and obedience that his crew had rendered him, I felt especially fortunate to be able to secure his services.",MWS
id09674,"The astronomer, perhaps, at this point, took refuge in the suggestion of no luminosity; and here the analogy dropped suddenly.",EAP
id13515,The rope hung in piping on my body.,EAP
id19322,"I knew that you could not tell yourself ""stereotomy"" without thinking about atoms, and therefore about Epicurus' theories; and since, when we discussed this issue not long ago, I mentioned you in a singular way, but with so little warning, the vague conjectures of that noble Greek found confirmation in the late nebular cosmogonía, I felt that you could not avoid looking towards the great nebula in Orion, and I certainly expected you to do it.",EAP
id00912,"I confess that neither the structure of the languages, nor the government code, nor the politics of several states attracted me.",MWS
id16737,"He will find that I can feel my wounds; he will learn to fear my revenge ""A few days after his arrival.",MWS
id16607,"Here we barricaded ourselves, and, for the moment, we were safe.",EAP
id19764,Herbert West needed new bodies because his life work was the reanimation of the dead.,HPL
id18886,"The farm grounds stretched very deep up the hill, almost to Wheaton Street.",HPL
id17189,But one look will show the fallacy of this idea.,EAP
id12799,"He had escaped from me, and I must begin a destructive and almost endless journey through the mountainous ice of the ocean, in the midst of a cold that few of the inhabitants could endure for a long time and that I, the native of a great climate and sunny, I could not hope to survive.",MWS
id08441,"To these discourses they gave, of course, their own interpretation; imagining, no doubt, that in any case, you should get large amounts of money prepared; and whenever I paid them all they had to, and a little more, in consideration of their services, I dare to say that they cared very little about my soul or my corpse.",EAP
id13117,"His native vivacity did not need undue enthusiasm, and his placid heart rested contentedly in my love, the welfare of his children and the beauty of the surrounding nature.",MWS
id14862,"I even talked about a slightly agitated cough with which, in a moment, I had been worried about a chronic rheumatism of a pang of hereditary gout and, in conclusion, of the unpleasant and inconvenient, but until now carefully hidden, weakness of my eyes",EAP
id20836,"His facial appearance, too, was remarkable for his maturity; because although he shared the indifference of his mother and grandfather, his firm and precocious nose joined with the expression of his large, dark, almost Latin eyes, to give him an air of almost adulthood and an almost supernatural intelligence.",HPL
id11411,"Now the network work was not permanently attached to the hoop, but was linked by a series of loops or ropes.",EAP
id08075,"It was not that the sounds were horrible, because they were not; but that they had vibrations that did not suggest anything in this terrestrial globe, and that in certain intervals they assumed a symphonic quality that could hardly be conceived as produced by a single player.",HPL
id18925,"In each hand there was a desert of fantastically carved balconies, terraces, minarets, sanctuaries and oriels.",EAP
id19925,"With how deep was the spirit of amazement and perplexity, I used to look at him from our remote bench in the gallery, while, with solemn and slow step, he ascended to the pulpit. This Reverend, with a face so modestly benign, with robes so bright and so elegantly fluid, with a wig so meticulously powdered, so rigid and so vast, could this be the one who, lately, with sour face and in his skillful attire , administered, ferule in hand, the draconian laws of the academy?",EAP
id01704,These strange attempts at explanation were followed by others equally strange.,EAP
id10125,"For many prodigies and signs had taken place, and everywhere, on the sea and land, the black wings of the Pestilence spread abroad.",EAP
id02448,"All that can be rightly said so far is that ""pure gold can be produced at will, and very easily from lead in connection with certain other substances, in type and in proportions, unknown."" Speculation, of course, is occupied with the immediate and ultimate results of this discovery, a discovery that few thinking people will doubt in referring to a greater interest in the matter of gold in general, because of the latest developments in California; and this reflection inevitably leads us to another, the excessive untimeliness of Von Kempelen's analysis.",EAP
id23451,"He seemed to be on the verge of understanding without being able to understand men; sometimes, they are on the edge of memory without power, in the end, remember.",EAP
id27907,"Our compasses, depth gauges and other delicate instruments were ruined; so that, from now on, our only calculation would be to conjecture, based on our clocks, the calendar and our apparent drift, as judged by the objects that we can spy through the ports or from the turret.",HPL
id08121,"The young warriors took them to Sarnath as a symbol of conquest over the ancient gods and beings of Ib, and a sign of leadership in Mnar.",HPL
id15222,"Meanwhile, the entire Arnheim Paradise bursts into view.",EAP
id00764,"I was rich and young, and had a guardian appointed to me; and everything about me would act as if I were one of their great society, while I must keep the secret that I was really separated from them forever.",MWS
id00683,"We could hardly distinguish ourselves with the dim light, but they seemed to contain prophecies, detailed accounts of events, but which passed recently; names, now well known, but of modern date; and often there were thin and little exclamations of jubilation or woe to victory or defeat.",MWS
id11733,Even now They spoke in Their graves.,HPL
id03205,"Sheehan especially did research, however, without obtaining any valuable information regarding Old Bugs.",HPL
id01948,"He cried aloud once, and a little later he gave a choked cry that was more terrible than a scream.",HPL
id22412,"The old tracks crossed River Street in degree, and immediately drifted into an increasingly rural region with less and less obnoxious fishy smell from Innsmouth.",HPL
id05258,"His soul was full of ardent affections, and his friendship was of that devout and wonderful nature that the world mentality teaches us to look only in the imagination.",MWS
id00144,"After the first start, he replaced the paper wrap around the portrait, as if to protect it from the sordidness of the place.",HPL
id19576,"""The present peculiar condition of the court cases, and especially of those intrigues in which D is known to be involved, would make the instant availability of the document susceptible of being produced at a given moment, a point of almost equal importance. with his possession. """,EAP
id01577,"Wilbur's growth was really phenomenal, since within three months of his birth he had reached a size and muscular strength that is not usually found in babies under one year of age.",HPL
id01651,"Pausing, I managed to lift it with difficulty, after which a black opening was revealed, exhaling noxious vapors that made the lantern sizzle, and revealing in the unstable glare the upper part of a flight of stone steps.",HPL
id27080,"Everything was mud and water, the sky was dark and the rain fell on all roads as quickly as possible; but beginning in the glen, when the trees had moved, there were still some terrible tracks, as big as those of a bar, like the ones seen on Monday. """,HPL
id20751,"Merrival's visits to Windsor, once frequent, had suddenly ceased.",MWS
id21136,"However, it should not be assumed that the great Underduk suffered this impertinence on the part of the little old man to go through with impunity.",EAP
id10279,I do not need to tell you how skeptical I have been so far on the subject of the immortality of the soul.,EAP
id12683,"I often compared myself to them, and upon discovering that my superior superiority consisted of power, I soon convinced myself that I was in power only that I was inferior to the principal potentates of the earth.",MWS
id19180,"And the children of the children, and the children of the newcomers, grew up.",HPL
id02236,"Dr. Johnson, as he saw it, was a complete and persecuted man, very restless and unkempt.",HPL
id11523,"Suddenly, the murmur of the water fell gently on my ear and, after a few moments, as I turned a little more abruptly than before, I realized that there was a building of a certain type at the foot of a gentle slope right in front of me. .",EAP
