id,text,author
id26305,"This process, however, did not allow me to know the dimensions of my dungeon; as I could make his circuit, and return to the point from which I left, without being aware of the fact; so perfectly uniform seemed the wall.",EAP
id17569,It never occurred to me that trial and error could be a simple mistake.,HPL
id11008,"In his left hand was a snuffbox of gold, from which, as he hurtled down the hill, cutting all sorts of fantastic steps, he was constantly taking tobacco with the air of the utmost satisfaction.",EAP
id27763,"How beautiful is spring As we watched from Windsor Terrace on the sixteen fertile counties scattered underneath, speckled by happy homes and richer cities, all seemed in previous years, heartening and just heart.",MWS
id12958,"Finding nothing else, not even gold, the superintendent abandoned his attempts; but a puzzled look sometimes flies over his face as he thinks of his desk.",HPL
id22965,"A youth spent in solitude, my best years spent under your sweet and feminine home, has so refined the basics of my character that I can not overcome an intense disgust at the usual brutality exercised aboard a ship. never thought it necessary, and when I heard about a sailor also noted for his kindness of heart and the respect and obedience paid to him by his crew, I felt particularly happy to be able to get his services .",MWS
id09674,"The astronomer, perhaps, at that moment, took refuge in the suggestion of non-luminosity; and here the analogy was suddenly dropped.",EAP
id13515,The sirloin hung in strips of my body.,EAP
id19322,"I knew you could not say ""stereotomy"" without thinking of the atoms, and so the theories of Epicurus; and since, when we discussed this subject not so long ago, I mentioned to you how singularly, but with little notice, the vague conjectures of this noble Greek were confirmed in the late nebular cosmogony, I felt that you could not avoid throwing your eyes towards the great Nebula of Orion, and I certainly expected you to do it.",EAP
id00912,"I confess that neither the structure of languages, nor the code of governments, nor the politics of the various states were attractive to me.",MWS
id16737,"He will find that I can feel my wounds; he will learn to fear my vengeance ""A few days after his arrival.",MWS
id16607,"Here we barricaded ourselves and, for the moment, were safe.",EAP
id19764,Herbert West needed fresh bodies because his life work was the resuscitation of the dead.,HPL
id18886,"The farm looked like a lot of land that ran up the hill, almost to Wheaton Street.",HPL
id17189,But a glance will show the error of this idea.,EAP
id12799,"It had escaped me, and I had to undertake a destructive and almost endless journey through the mountain ice of the ocean, in the midst of a cold that few people could endure long and that I, born of a climate brilliant and sunny, I could not hope. to survive.",MWS
id08441,"At these speeches, they gave, of course, their own interpretation; no doubt believing that in any case I would find vast quantities of cash; and as long as I paid them all that I owed them, and a little more, in consideration of their services, I dare say that they cared very little for what became of my soul or my carcass.",EAP
id13117,"His native vivacity did not require excessive excitement, and his placid heart rested on my love, the well-being of his children and the beauty of the surrounding nature.",MWS
id14862,"I even went so far as to speak of a slightly agitated cough with which I had been tormented by a chronic rheumatism of a hereditary drop of gout and, finally, of the unpleasant and inconvenient, but hitherto carefully concealed weakness of my eyes.",EAP
